year,semi_final,semi_draw_position,country,style,semi_place,semi_televote_points,semi_jury_points,semi_total_points
2018,2,7,Moldova,Pop,3.0,153.0,82.0,235.0
2018,2,8,Netherlands,Rock,7.0,47.0,127.0,174.0
2018,2,9,Australia,Pop,4.0,82.0,130.0,212.0
2018,2,10,Georgia,Pop,18.0,13.0,11.0,24.0
2018,2,11,Poland,Dance,14.0,60.0,21.0,81.0
2018,2,12,Malta,Pop,13.0,8.0,93.0,101.0
2018,2,13,Hungary,Rock,10.0,88.0,23.0,111.0
2018,2,14,Latvia,Pop,12.0,14.0,92.0,106.0
2018,2,15,Sweden,Pop,2.0,83.0,171.0,254.0
2018,2,16,Montenegro,Rock,16.0,17.0,23.0,40.0
2018,2,17,Slovenia,Pop,8.0,65.0,67.0,132.0
2018,2,18,Ukraine,Dance,6.0,114.0,65.0,179.0
2017,1,1,Sweden,Pop,3.0,103.0,124.0,227.0
2017,1,2,Georgia,Pop,11.0,37.0,62.0,99.0
2017,1,3,Australia,Pop,6.0,21.0,139.0,160.0
2017,1,4,Albania,Pop,14.0,38.0,38.0,76.0
2017,1,5,Belgium,Pop,4.0,125.0,40.0,165.0
2017,1,6,Montenegro,Pop,16.0,39.0,17.0,56.0
2017,1,7,Finland,Ballad,12.0,51.0,41.0,92.0
2017,1,8,Azerbaijan,Pop,8.0,63.0,87.0,150.0
2017,1,9,Portugal,Ballad,1.0,197.0,173.0,370.0
2017,1,10,Greece,Pop,10.0,54.0,61.0,115.0
2017,1,11,Poland,Pop,9.0,69.0,50.0,119.0
2017,1,12,Moldova,Dance,2.0,180.0,111.0,291.0
2017,1,13,Iceland,Pop,15.0,31.0,29.0,60.0
2017,1,14,Czech Republic,Pop,13.0,2.0,81.0,83.0
2017,1,15,Cyprus,Pop,5.0,103.0,61.0,164.0
2017,1,16,Armenia,Pop,7.0,65.0,87.0,152.0
2017,1,17,Slovenia,Ballad,17.0,20.0,16.0,36.0
2017,1,18,Latvia,Pop,18.0,20.0,1.0,21.0
2017,2,1,Serbia,Pop,11.0,45.0,53.0,98.0
2017,2,2,Austria,Pop,7.0,32.0,115.0,147.0
2017,2,3,North Macedonia,Pop,15.0,40.0,29.0,69.0
2017,2,4,Malta,Ballad,16.0,0.0,55.0,55.0
2017,2,5,Romania,Pop,6.0,148.0,26.0,174.0
2017,2,6,Netherlands,Pop,4.0,51.0,149.0,200.0
2017,2,7,Hungary,Traditional,2.0,165.0,66.0,231.0
2017,2,8,Denmark,Pop,10.0,5.0,96.0,101.0
2017,2,9,Ireland,Ballad,13.0,41.0,45.0,86.0
2017,2,10,San Marino,Pop,18.0,1.0,0.0,1.0
2017,2,11,Croatia,Opera,8.0,104.0,37.0,141.0
2017,2,12,Norway,Pop,5.0,52.0,137.0,189.0
2017,2,13,Switzerland,Pop,12.0,49.0,48.0,97.0
2017,2,14,Belarus,Pop,9.0,55.0,55.0,110.0
2017,2,15,Bulgaria,Pop,1.0,204.0,199.0,403.0
2017,2,16,Lithuania,Pop,17.0,25.0,17.0,42.0
2017,2,17,Estonia,Pop,14.0,69.0,16.0,85.0
2017,2,18,Israel,Pop,3.0,132.0,75.0,207.0
