year,semi_final,semi_draw_position,final_draw_position,country,style,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place,final_total_points,semi_place,semi_televote_points,semi_jury_points,semi_total_points
2018,1,10,18,Bulgaria,Pop,66.0,100.0,15.0,18.0,14.0,166.0,7.0,70.0,107.0,177.0
2018,1,11,-,North Macedonia,Pop,,,,,,,18.0,6.0,18.0,24.0
2018,1,12,-,Croatia,Pop,,,,,,,17.0,17.0,46.0,63.0
2018,1,13,5,Austria,Pop,71.0,271.0,18.0,34.0,3.0,342.0,4.0,116.0,115.0,231.0
2018,1,14,-,Greece,Pop,,,,,,,14.0,53.0,28.0,81.0
2018,1,15,17,Finland,Pop,23.0,23.0,4.0,6.0,25.0,46.0,10.0,73.0,35.0,108.0
2018,1,16,-,Armenia,Pop,,,,,,,15.0,41.0,38.0,79.0
2018,1,17,-,Switzerland,Pop,,,,,,,13.0,27.0,59.0,86.0
2018,1,18,24,Ireland,Traditional,62.0,74.0,14.0,19.0,16.0,136.0,6.0,108.0,71.0,179.0
2018,1,19,25,Cyprus,Pop,253.0,183.0,42.0,27.0,2.0,436.0,2.0,173.0,89.0,262.0
2018,2,1,7,Norway,Pop,84.0,60.0,18.0,12.0,15.0,144.0,1.0,133.0,133.0,266.0
2018,2,2,-,Romania,Pop,,,,,,,11.0,40.0,67.0,107.0
2018,2,3,10,Serbia,Traditional,75.0,38.0,9.0,6.0,19.0,113.0,9.0,72.0,45.0,117.0
2018,2,4,-,San Marino,Pop,,,,,,,17.0,14.0,14.0,28.0
2018,2,5,15,Denmark,Traditional,188.0,38.0,32.0,8.0,9.0,226.0,5.0,164.0,40.0,204.0
2018,2,6,-,Russia,Pop,,,,,,,15.0,51.0,14.0,65.0
2018,2,7,19,Moldova,Pop,115.0,94.0,23.0,13.0,10.0,209.0,3.0,153.0,82.0,235.0
2018,2,8,23,Netherlands,Rock,32.0,89.0,7.0,18.0,18.0,121.0,7.0,47.0,127.0,174.0
2018,2,9,16,Australia,Pop,9.0,90.0,3.0,17.0,20.0,99.0,4.0,82.0,130.0,212.0
2018,2,10,-,Georgia,Pop,,,,,,,18.0,13.0,11.0,24.0
2018,2,11,-,Poland,Dance,,,,,,,14.0,60.0,21.0,81.0
2018,2,12,-,Malta,Pop,,,0.0,0.0,,,13.0,8.0,93.0,101.0
2018,2,13,21,Hungary,Rock,65.0,28.0,15.0,7.0,21.0,93.0,10.0,88.0,23.0,111.0
2018,2,14,-,Latvia,Pop,,,,,,,12.0,14.0,92.0,106.0
2018,2,15,20,Sweden,Pop,21.0,253.0,7.0,35.0,7.0,274.0,2.0,83.0,171.0,254.0
2018,2,16,-,Montenegro,Rock,,,,,,,16.0,17.0,23.0,40.0
2018,2,17,3,Slovenia,Pop,23.0,41.0,4.0,12.0,22.0,64.0,8.0,65.0,67.0,132.0
2018,2,18,1,Ukraine,Dance,119.0,11.0,18.0,2.0,17.0,130.0,6.0,114.0,65.0,179.0
2018,-,-,8,Portugal,Pop,18.0,21.0,2.0,5.0,26.0,39.0,,,,
2018,-,-,9,United Kingdom,Pop,25.0,23.0,7.0,6.0,24.0,48.0,,,,
2018,-,-,11,Germany,Pop,136.0,204.0,29.0,30.0,4.0,340.0,,,,
2018,-,-,13,France,Pop,59.0,114.0,13.0,21.0,13.0,173.0,,,,
2018,-,-,26,Italy,Pop,249.0,59.0,35.0,11.0,5.0,308.0,,,,
2018,-,-,2,Spain,Pop,18.0,43.0,3.0,10.0,23.0,61.0,,,,
2017,1,1,24,Sweden,Pop,126.0,218.0,35.0,33.0,5.0,344.0,3.0,103.0,124.0,227.0
2017,1,2,-,Georgia,Pop,,,,,,,11.0,37.0,62.0,99.0
2017,1,3,14,Australia,Pop,2.0,171.0,1.0,29.0,9.0,173.0,6.0,21.0,139.0,160.0
2017,1,4,-,Albania,Pop,,,,,,,14.0,38.0,38.0,76.0
2017,1,5,23,Belgium,Pop,255.0,108.0,40.0,21.0,4.0,363.0,4.0,125.0,40.0,165.0
2017,1,6,-,Montenegro,Pop,,,,,,,16.0,39.0,17.0,56.0
2017,1,7,-,Finland,Ballad,,,,,,,12.0,51.0,41.0,92.0
2017,1,8,12,Azerbaijan,Pop,42.0,78.0,6.0,14.0,14.0,120.0,8.0,63.0,87.0,150.0
2017,1,9,11,Portugal,Ballad,376.0,382.0,41.0,39.0,1.0,758.0,1.0,197.0,173.0,370.0
2017,1,10,15,Greece,Pop,29.0,48.0,6.0,7.0,19.0,77.0,10.0,54.0,61.0,115.0
2017,1,11,2,Poland,Pop,41.0,23.0,11.0,7.0,22.0,64.0,9.0,69.0,50.0,119.0
2017,1,12,7,Moldova,Dance,264.0,110.0,38.0,19.0,3.0,374.0,2.0,180.0,111.0,291.0
2017,1,13,-,Iceland,Pop,,,,,,,15.0,31.0,29.0,60.0
2017,1,14,-,Czech Republic,Pop,,,,,,,13.0,2.0,81.0,83.0
2017,1,15,19,Cyprus,Pop,32.0,36.0,6.0,7.0,21.0,68.0,5.0,103.0,61.0,164.0
2017,1,16,5,Armenia,Pop,21.0,58.0,5.0,16.0,18.0,79.0,7.0,65.0,87.0,152.0
2017,1,17,-,Slovenia,Ballad,,,,,,,17.0,20.0,16.0,36.0
2017,1,18,-,Latvia,Pop,,,,,,,18.0,20.0,1.0,21.0
2017,2,1,-,Serbia,Pop,,,,,,,11.0,45.0,53.0,98.0
2017,2,2,4,Austria,Pop,0.0,93.0,0.0,24.0,16.0,93.0,7.0,32.0,115.0,147.0
2017,2,3,-,North Macedonia,Pop,,,,,,,15.0,40.0,29.0,69.0
2017,2,4,-,Malta,Ballad,,,,,,,16.0,0.0,55.0,55.0
2017,2,5,20,Romania,Pop,224.0,58.0,38.0,11.0,7.0,282.0,6.0,148.0,26.0,174.0
2017,2,6,6,Netherlands,Pop,15.0,135.0,5.0,25.0,11.0,150.0,4.0,51.0,149.0,200.0
2017,2,7,8,Hungary,Traditional,152.0,48.0,33.0,10.0,8.0,200.0,2.0,165.0,66.0,231.0
2017,2,8,10,Denmark,Pop,8.0,69.0,1.0,14.0,20.0,77.0,10.0,5.0,96.0,101.0
2017,2,9,-,Ireland,Ballad,,,,,,,13.0,41.0,45.0,86.0
2017,2,10,-,San Marino,Pop,,,,,,,18.0,1.0,0.0,1.0
2017,2,11,13,Croatia,Opera,103.0,25.0,21.0,6.0,13.0,128.0,8.0,104.0,37.0,141.0
2017,2,12,17,Norway,Pop,29.0,129.0,8.0,24.0,10.0,158.0,5.0,52.0,137.0,189.0
2017,2,13,-,Switzerland,Pop,,,,,,,12.0,49.0,48.0,97.0
2017,2,14,3,Belarus,Pop,33.0,50.0,9.0,11.0,17.0,83.0,9.0,55.0,55.0,110.0
2017,2,15,25,Bulgaria,Pop,337.0,278.0,41.0,38.0,2.0,615.0,1.0,204.0,199.0,403.0
2017,2,16,-,Lithuania,Pop,,,,,,,17.0,25.0,17.0,42.0
2017,2,17,-,Estonia,Pop,,,,,,,14.0,69.0,16.0,85.0
2017,2,18,1,Israel,Pop,5.0,34.0,3.0,8.0,23.0,39.0,3.0,132.0,75.0,207.0
2017,-,-,9,Italy,Pop,208.0,126.0,36.0,20.0,6.0,334.0,,,,
2017,-,-,16,Spain,Pop,5.0,0.0,1.0,0.0,26.0,5.0,,,,
2017,-,-,18,United Kingdom,Ballad,12.0,99.0,4.0,21.0,15.0,111.0,,,,
2017,-,-,21,Germany,Pop,3.0,3.0,1.0,1.0,25.0,6.0,,,,
2017,-,-,22,Ukraine,Rock,24.0,12.0,6.0,3.0,24.0,36.0,,,,
2017,-,-,26,France,Pop,90.0,45.0,24.0,12.0,12.0,135.0,,,,
2016,1,1,-,Finland,Pop,,,,,,,15.0,16.0,35.0,51.0
2016,1,2,-,Greece,Pop,,,,,,,16.0,22.0,22.0,44.0
2016,1,3,-,Moldova,Pop,,,,,,,17.0,9.0,24.0,33.0
2016,1,4,5,Hungary,Pop,56.0,52.0,16.0,12.0,19.0,108.0,4.0,119.0,78.0,197.0
2016,1,5,17,Croatia,Pop,33.0,40.0,5.0,11.0,23.0,73.0,10.0,53.0,80.0,133.0
2016,1,6,3,Netherlands,Pop,39.0,114.0,8.0,22.0,11.0,153.0,5.0,95.0,102.0,197.0
2016,1,7,26,Armenia,Pop,134.0,115.0,21.0,21.0,7.0,249.0,2.0,116.0,127.0,243.0
2016,1,8,-,San Marino,Pop,,,,,,,12.0,49.0,19.0,68.0
2016,1,9,18,Russia,Pop,361.0,130.0,41.0,20.0,3.0,491.0,1.0,194.0,148.0,342.0
2016,1,10,2,Czech Republic,Pop,0.0,41.0,0.0,11.0,25.0,41.0,9.0,41.0,120.0,161.0
2016,1,11,14,Cyprus,Rock,53.0,43.0,11.0,10.0,21.0,96.0,8.0,93.0,71.0,164.0
2016,1,12,24,Austria,Pop,120.0,31.0,27.0,7.0,13.0,151.0,7.0,133.0,37.0,170.0
2016,1,13,-,Estonia,Pop,,,,,,,18.0,15.0,9.0,24.0
2016,1,14,4,Azerbaijan,Pop,73.0,44.0,13.0,11.0,17.0,117.0,6.0,93.0,92.0,185.0
2016,1,15,-,Montenegro,Pop,,,,,,,13.0,14.0,46.0,60.0
2016,1,16,-,Iceland,Pop,,,,,,,14.0,24.0,27.0,51.0
2016,1,17,-,Bosnia and Herzegovina,Pop,,,,,,,11.0,78.0,26.0,104.0
2016,1,18,22,Malta,Pop,16.0,137.0,3.0,23.0,12.0,153.0,3.0,54.0,155.0,209.0
2016,2,1,20,Latvia,Pop,63.0,69.0,13.0,14.0,15.0,132.0,8.0,68.0,64.0,132.0
2016,2,2,12,Poland,Pop,222.0,7.0,35.0,4.0,8.0,229.0,6.0,131.0,20.0,151.0
2016,2,3,-,Switzerland,Pop,,,,,,,18.0,3.0,25.0,28.0
2016,2,4,7,Israel,Ballad,11.0,124.0,3.0,25.0,14.0,135.0,7.0,20.0,127.0,147.0
2016,2,5,-,Belarus,Pop,,,,,,,12.0,52.0,32.0,84.0
2016,2,6,15,Serbia,Pop,80.0,35.0,8.0,7.0,18.0,115.0,10.0,50.0,55.0,105.0
2016,2,7,-,Ireland,Pop,,,,,,,15.0,31.0,15.0,46.0
2016,2,8,-,North Macedonia,Ballad,,,,,,,11.0,54.0,34.0,88.0
2016,2,9,16,Lithuania,Ballad,96.0,104.0,17.0,22.0,9.0,200.0,4.0,118.0,104.0,222.0
2016,2,10,13,Australia,Pop,191.0,320.0,37.0,38.0,2.0,511.0,1.0,142.0,188.0,330.0
2016,2,11,-,Slovenia,Pop,,,,,,,14.0,8.0,49.0,57.0
2016,2,12,8,Bulgaria,Dance,180.0,127.0,34.0,23.0,4.0,307.0,5.0,122.0,98.0,220.0
2016,2,13,-,Denmark,Pop,,,,,,,17.0,24.0,10.0,34.0
